run_id,scenario_id,ns3_seed,ns3_run,sumo_seed,propagation,window_start_s,window_end_s,src,dst,tx,rx_ok,per,dist_m,within_evaluation_radius,v_src_mps,v_dst_mps,rssi_dbm,snr_db,phy_n,cbr_tx,cbr_rx,cbr_global
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh0,veh1,10,0,1,770.67,0,8.38498,7.69258,nan,nan,0,0.021,0.021,0.0224
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh0,veh4,1,1,0,502.084,0,8.33993,0,-80.6932,16.2831,1,0.021,0.03,0.0224
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh1,veh0,10,0,1,770.67,0,7.69258,8.38498,nan,nan,0,0.021,0.021,0.0224
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh1,veh4,1,1,0,264.696,1,7.82182,0,-75.1326,21.8437,1,0.021,0.03,0.0224
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh2,veh3,10,10,0,268.318,1,5.12958,2.31541,-75.2507,21.7256,10,0.02,0.02,0.0224
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh3,veh2,10,10,0,268.318,1,2.31541,5.12958,-75.2507,21.7256,10,0.02,0.02,0.0224
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh4,veh0,1,1,0,502.084,0,0,8.33993,-80.6932,16.2831,1,0.03,0.021,0.0224
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh4,veh1,1,1,0,264.696,1,0,7.82182,-75.1326,21.8437,1,0.03,0.021,0.0224
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh0,veh1,10,0,1,759.26,0,8.3927,7.78732,nan,nan,0,0.03,0.03,0.026
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh0,veh4,10,10,0,497.932,1,8.3927,1.2778,-80.621,16.3553,10,0.03,0.03,0.026
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh1,veh0,10,0,1,759.26,0,7.78732,8.3927,nan,nan,0,0.03,0.03,0.026
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh1,veh4,10,10,0,262.837,1,7.78732,1.2778,-75.0714,21.9049,10,0.03,0.03,0.026
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh2,veh3,10,10,0,266.459,1,7.24758,4.43199,-75.1903,21.786,10,0.02,0.02,0.026
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh3,veh2,10,10,0,266.459,1,4.43199,7.24758,-75.1903,21.786,10,0.02,0.02,0.026
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh4,veh0,10,10,0,497.932,1,1.2778,8.3927,-80.621,16.3553,10,0.03,0.03,0.026
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh4,veh1,10,10,0,262.837,1,1.2778,7.78732,-75.0714,21.9049,10,0.03,0.03,0.026
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,7,8,veh0,veh1,10,0,1,748.012,0,8.38638,7.79494,nan,nan,0,0.037,0.03,0.029
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,7,8,veh0,veh4,10,10,0,489.577,1,8.38638,3.34145,-80.474,16.5023,10,0.037,0.037,0.029
juelich_pilot_d60_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,7,8,veh0,veh5,7,7,0,265.866,1,8.39805,0.733357,-75.1709,21.8054,7,0.037,0.03,0.029
