run_id,scenario_id,ns3_seed,ns3_run,sumo_seed,propagation,window_start_s,window_end_s,src,dst,tx,rx_ok,per,dist_m,within_evaluation_radius,v_src_mps,v_dst_mps,rssi_dbm,snr_db,phy_n,cbr_tx,cbr_rx,cbr_global
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh0,veh1,10,0,1,770.829,0,8.06159,7.60509,nan,nan,0,0.021,0.021,0.0224
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh0,veh4,1,1,0,501.914,0,8.08811,0,-80.6903,16.286,1,0.021,0.03,0.0224
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh1,veh0,10,0,1,770.829,0,7.60509,8.06159,nan,nan,0,0.021,0.021,0.0224
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh1,veh4,1,1,0,265.054,1,8.27982,0,-75.1444,21.8319,1,0.021,0.03,0.0224
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh2,veh3,10,10,0,268.331,1,5.16305,2.35968,-75.2511,21.7252,10,0.02,0.02,0.0224
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh3,veh2,10,10,0,268.331,1,2.35968,5.16305,-75.2511,21.7252,10,0.02,0.02,0.0224
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh4,veh0,1,1,0,501.914,0,0,8.08811,-80.6903,16.286,1,0.03,0.021,0.0224
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh4,veh1,1,1,0,265.054,1,0,8.27982,-75.1444,21.8319,1,0.03,0.021,0.0224
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh0,veh1,10,0,1,759.472,0,8.05638,8.30765,nan,nan,0,0.03,0.03,0.026
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh0,veh4,10,10,0,497.905,1,8.05638,1.31518,-80.6205,16.3557,10,0.03,0.03,0.026
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh1,veh0,10,0,1,759.472,0,8.30765,8.05638,nan,nan,0,0.03,0.03,0.026
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh1,veh4,10,10,0,263.049,1,8.30765,1.31518,-75.0784,21.8979,10,0.03,0.03,0.026
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh2,veh3,10,10,0,266.522,1,6.99467,4.30416,-75.1923,21.784,10,0.02,0.02,0.026
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh3,veh2,10,10,0,266.522,1,4.30416,6.99467,-75.1923,21.784,10,0.02,0.02,0.026
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh4,veh0,10,10,0,497.905,1,1.31518,8.05638,-80.6205,16.3557,10,0.03,0.03,0.026
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh4,veh1,10,10,0,263.049,1,1.31518,8.30765,-75.0784,21.8979,10,0.03,0.03,0.026
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh0,veh1,10,0,1,748.199,0,8.0474,8.33404,nan,nan,0,0.037,0.03,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh0,veh4,10,10,0,489.797,1,8.0474,3.36634,-80.4779,16.4984,10,0.037,0.037,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh0,veh5,7,7,0,265.635,1,8.05086,0.734316,-75.1633,21.8129,7,0.037,0.03,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh1,veh0,10,0,1,748.199,0,8.33404,8.0474,nan,nan,0,0.03,0.037,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh1,veh4,10,10,0,260.611,1,8.33404,3.36634,-74.9975,21.9788,10,0.03,0.037,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh2,veh3,10,10,0,262.857,1,9.04804,6.177,-75.072,21.9043,10,0.02,0.02,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh3,veh2,10,10,0,262.857,1,6.177,9.04804,-75.072,21.9043,10,0.02,0.02,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh3,veh5,7,0,1,978.624,0,6.46872,0.734316,nan,nan,0,0.02,0.03,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh4,veh0,10,10,0,489.797,1,3.36634,8.0474,-80.4779,16.4984,10,0.037,0.037,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh4,veh1,10,10,0,260.611,1,3.36634,8.33404,-74.9975,21.9788,10,0.037,0.03,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh4,veh5,7,0,1,746.195,0,3.64185,0.734316,nan,nan,0,0.037,0.03,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh5,veh0,7,7,0,265.635,1,0.734316,8.05086,-75.1633,21.8129,7,0.03,0.037,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh5,veh3,7,0,1,978.624,0,0.734316,6.46872,nan,nan,0,0.03,0.02,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh5,veh4,7,0,1,746.195,0,0.734316,3.64185,nan,nan,0,0.03,0.037,0.029
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh0,veh1,10,0,1,737.083,0,8.05868,8.3365,nan,nan,0,0.042,0.032,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh0,veh4,10,10,0,480.725,1,8.05868,5.25035,-80.3155,16.6608,10,0.042,0.042,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh0,veh5,10,10,0,271.047,1,8.05868,2.5258,-75.3384,21.6379,10,0.042,0.03,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh0,veh6,2,2,0,572.004,0,8.04039,0.126272,-81.8257,15.1506,2,0.042,0.04,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh1,veh0,10,0,1,737.083,0,8.3365,8.05868,nan,nan,0,0.032,0.042,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh1,veh4,10,10,0,259.746,1,8.3365,5.25035,-74.9687,22.0076,10,0.032,0.042,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh1,veh6,2,2,0,199.019,1,8.3683,0.126272,-72.6556,24.3207,2,0.032,0.04,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh2,veh3,10,10,0,255.548,1,9.9851,8.18375,-74.8267,22.1496,10,0.02,0.02,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh3,veh2,10,10,0,255.548,1,8.18375,9.9851,-74.8267,22.1496,10,0.02,0.02,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh3,veh5,10,0,1,973.086,0,8.18375,2.5258,nan,nan,0,0.02,0.03,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh4,veh0,10,10,0,480.725,1,5.25035,8.05868,-80.3155,16.6608,10,0.042,0.042,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh4,veh1,10,10,0,259.746,1,5.25035,8.3365,-74.9687,22.0076,10,0.042,0.032,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh4,veh5,10,0,1,745.017,0,5.25035,2.5258,nan,nan,0,0.042,0.03,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh4,veh6,2,2,0,109.664,1,6.03731,0.126272,-67.479,29.4973,2,0.042,0.04,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh5,veh0,10,10,0,271.047,1,2.5258,8.05868,-75.3384,21.6379,10,0.03,0.042,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh5,veh3,10,0,1,973.086,0,2.5258,8.18375,nan,nan,0,0.03,0.02,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh5,veh4,10,0,1,745.017,0,2.5258,5.25035,nan,nan,0,0.03,0.042,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh5,veh6,2,0,1,833.12,0,3.31415,0.126272,nan,nan,0,0.03,0.04,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh6,veh0,2,2,0,572.004,0,0.126272,8.04039,-81.8257,15.1506,2,0.04,0.042,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh6,veh1,2,2,0,199.019,1,0.126272,8.3683,-72.6556,24.3207,2,0.04,0.032,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh6,veh4,2,2,0,109.664,1,0.126272,6.03731,-67.479,29.4973,2,0.04,0.042,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh6,veh5,2,0,1,833.12,0,0.126272,3.31415,nan,nan,0,0.04,0.03,0.0322857
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh0,veh1,10,0,1,726.306,0,8.03514,8.33142,nan,nan,0,0.05,0.04,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh0,veh4,10,10,0,471.007,1,8.03514,7.06341,-80.1381,16.8382,10,0.05,0.05,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh0,veh5,10,10,0,278.821,1,8.03514,4.4726,-75.5839,21.3924,10,0.05,0.03,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh0,veh6,10,10,0,567.148,0,8.03514,1.51809,-81.7515,15.2247,10,0.05,0.04,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh1,veh0,10,0,1,726.306,0,8.33142,8.03514,nan,nan,0,0.04,0.05,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh1,veh4,10,10,0,260.543,1,8.33142,7.06341,-74.9953,21.981,10,0.04,0.05,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh1,veh6,10,10,0,199.267,1,8.33142,1.51809,-72.6664,24.3099,10,0.04,0.04,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh2,veh3,10,10,0,245.227,1,9.98323,10.2757,-74.4683,22.508,10,0.02,0.02,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh3,veh2,10,10,0,245.227,1,10.2757,9.98323,-74.4683,22.508,10,0.02,0.02,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh3,veh5,10,0,1,964.426,0,10.2757,4.4726,nan,nan,0,0.02,0.03,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh4,veh0,10,10,0,471.007,1,7.06341,8.03514,-80.1381,16.8382,10,0.05,0.05,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh4,veh1,10,10,0,260.543,1,7.06341,8.33142,-74.9953,21.981,10,0.05,0.04,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh4,veh5,10,0,1,744.352,0,7.06341,4.4726,nan,nan,0,0.05,0.03,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh4,veh6,10,10,0,108.746,1,7.06341,1.51809,-67.4058,29.5705,10,0.05,0.04,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh5,veh0,10,10,0,278.821,1,4.4726,8.03514,-75.5839,21.3924,10,0.03,0.05,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh5,veh3,10,0,1,964.426,0,4.4726,10.2757,nan,nan,0,0.03,0.02,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh5,veh4,10,0,1,744.352,0,4.4726,7.06341,nan,nan,0,0.03,0.05,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh5,veh6,10,0,1,834.652,0,4.4726,1.51809,nan,nan,0,0.03,0.04,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh6,veh0,10,10,0,567.148,0,1.51809,8.03514,-81.7515,15.2247,10,0.04,0.05,0.0357143
juelich_pilot_d60_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh6,veh1,10,10,0,199.267,1,1.51809,8.33142,-72.6664,24.3099,10,0.04,0.04,0.0357143
