run_id,scenario_id,ns3_seed,ns3_run,sumo_seed,propagation,window_start_s,window_end_s,src,dst,tx,rx_ok,per,dist_m,within_evaluation_radius,v_src_mps,v_dst_mps,rssi_dbm,snr_db,phy_n,cbr_tx,cbr_rx,cbr_global
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh0,veh1,2,0,1,773.056,0,8.05031,7.26581,nan,nan,0,0.004,0.004,0.0032
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh1,veh0,2,0,1,773.056,0,7.26581,8.05031,nan,nan,0,0.004,0.004,0.0032
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh2,veh3,2,2,0,268.645,1,4.80805,1.9328,-75.2613,21.715,2,0.004,0.004,0.0032
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,5,6,veh3,veh2,2,2,0,268.645,1,1.9328,4.80805,-75.2613,21.715,2,0.004,0.004,0.0032
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh0,veh1,2,0,1,761.745,0,8.10296,8.30487,nan,nan,0,0.006,0.006,0.0052
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh0,veh4,2,2,0,499.397,1,8.10296,0.842679,-80.6466,16.3297,2,0.006,0.006,0.0052
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh1,veh0,2,0,1,761.745,0,8.30487,8.10296,nan,nan,0,0.006,0.006,0.0052
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh1,veh4,2,2,0,263.724,1,8.30487,0.842679,-75.1007,21.8756,2,0.006,0.006,0.0052
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh2,veh3,2,2,0,266.939,1,6.59635,3.91218,-75.2059,21.7704,2,0.004,0.004,0.0052
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh3,veh2,2,2,0,266.939,1,3.91218,6.59635,-75.2059,21.7704,2,0.004,0.004,0.0052
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh4,veh0,2,2,0,499.397,1,0.842679,8.10296,-80.6466,16.3297,2,0.006,0.006,0.0052
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,6,7,veh4,veh1,2,2,0,263.724,1,0.842679,8.30487,-75.1007,21.8756,2,0.006,0.006,0.0052
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh0,veh1,2,0,1,750.44,0,8.0679,8.31017,nan,nan,0,0.007,0.006,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh0,veh4,2,2,0,491.514,1,8.0679,3.02406,-80.5083,16.4679,2,0.007,0.007,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh0,veh5,1,1,0,265.046,1,8.10128,0.502287,-75.1441,21.8322,1,0.007,0.00428571,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh1,veh0,2,0,1,750.44,0,8.31017,8.0679,nan,nan,0,0.006,0.007,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh1,veh4,2,2,0,260.954,1,8.31017,3.02406,-75.009,21.9673,2,0.006,0.007,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh2,veh3,2,2,0,263.853,1,8.63312,5.78475,-75.1049,21.8714,2,0.004,0.004,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh3,veh2,2,2,0,263.853,1,5.78475,8.63312,-75.1049,21.8714,2,0.004,0.004,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh3,veh5,1,0,1,979.307,0,6.26743,0.502287,nan,nan,0,0.004,0.00428571,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh4,veh0,2,2,0,491.514,1,3.02406,8.0679,-80.5083,16.4679,2,0.007,0.007,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh4,veh1,2,2,0,260.954,1,3.02406,8.31017,-75.009,21.9673,2,0.007,0.006,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh4,veh5,1,0,1,746.354,0,3.48208,0.502287,nan,nan,0,0.007,0.00428571,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh5,veh0,1,1,0,265.046,1,0.502287,8.10128,-75.1441,21.8322,1,0.00428571,0.007,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh5,veh3,1,0,1,979.307,0,0.502287,6.26743,nan,nan,0,0.00428571,0.004,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,7,8,veh5,veh4,1,0,1,746.354,0,0.502287,3.48208,nan,nan,0,0.00428571,0.007,0.00538095
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh0,veh1,2,0,1,739.284,0,8.08987,8.35386,nan,nan,0,0.008,0.006,0.00514286
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh0,veh4,2,2,0,482.606,1,8.08987,4.83201,-80.3494,16.6268,2,0.008,0.008,0.00514286
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh0,veh5,2,2,0,269.666,1,8.08987,2.1357,-75.294,21.6822,2,0.008,0.006,0.00514286
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh1,veh0,2,0,1,739.284,0,8.35386,8.08987,nan,nan,0,0.006,0.008,0.00514286
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh1,veh4,2,2,0,259.778,1,8.35386,4.83201,-74.9697,22.0065,2,0.006,0.008,0.00514286
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh2,veh3,2,2,0,257.433,1,9.98949,7.77566,-74.8907,22.0856,2,0.004,0.004,0.00514286
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh3,veh2,2,2,0,257.433,1,7.77566,9.98949,-74.8907,22.0856,2,0.004,0.004,0.00514286
juelich_pilot_d60_r2_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh3,veh5,2,0,1,974.349,0,7.77566,2.1357,nan,nan,0,0.004,0.006,0.00514286
