t,src,dst,tx,rxOk,per,dist_m,v_src,v_dst,rssi_dbm,snr_db,phyN,cbr_tx,cbr_rx,cbr_global
10,veh1,veh0,10,5,0.5,580.81,1.8675,0,-75.4057,21.5706,5,0.085,0.034,0.0595
10,veh0,veh1,10,4,0.6,580.81,0,1.8675,-79.8212,12.1275,4,0.034,0.085,0.0595
11,veh1,veh0,10,3,0.7,579.249,3.75061,0,-81.5364,15.4399,3,0.068,0.038,0.053
11,veh0,veh1,10,6,0.4,579.249,0,3.75061,-76.2066,11.3098,6,0.038,0.068,0.053
12,veh1,veh0,10,5,0.5,576.692,5.83905,0,-76.4076,20.5687,5,0.062,0.037,0.0495
12,veh0,veh1,10,7,0.3,576.692,0,5.83905,-78.0562,7.7225,7,0.037,0.062,0.0495
13,veh1,veh0,10,6,0.4,573.146,7.73512,0,-76.4535,20.5228,6,0.071,0.037,0.054
13,veh0,veh1,10,4,0.6,573.146,0,7.73512,-77.6491,14.8678,4,0.037,0.071,0.054
14,veh1,veh0,10,3,0.7,569.208,7.80167,0,-74.8537,22.1225,3,0.063,0.034,0.0485
14,veh0,veh1,10,5,0.5,569.208,0,7.80167,-75.2494,9.24714,5,0.034,0.063,0.0485
15,veh1,veh0,10,8,0.2,565.352,7.78182,0,-78.9369,18.0394,8,0.069,0.036,0.0525
15,veh0,veh1,10,4,0.6,565.352,0,7.78182,-77.3641,10.2182,4,0.036,0.069,0.0525
16,veh1,veh0,10,5,0.5,561.57,7.77995,0,-79.0383,17.9379,5,0.063,0.031,0.047
16,veh0,veh1,10,3,0.7,561.57,0,7.77995,-76.2705,12.6581,3,0.031,0.063,0.047
17,veh1,veh0,10,4,0.6,558.131,6.54028,0,-76.5755,20.4008,4,0.063,0.043,0.053
17,veh0,veh1,10,1,0.9,558.131,0,6.54028,-77.1568,19.8195,1,0.043,0.063,0.053
18,veh1,veh0,10,5,0.5,557.388,7.41508,0,-75.6741,21.3021,5,0.075,0.032,0.0535
18,veh0,veh1,10,4,0.6,557.388,0,7.41508,-75.4054,10.8521,4,0.032,0.075,0.0535
19,veh2,veh1,10,4,0.6,509.528,1.94924,7.52654,-77.0655,19.9108,4,0.118,0.073,0.0756667
19,veh2,veh0,10,3,0.7,1026.26,1.94924,0,-79.867,17.1092,3,0.118,0.036,0.0756667
19,veh1,veh2,10,5,0.5,509.528,7.52654,1.94924,-76.4969,20.4793,5,0.073,0.118,0.0756667
19,veh1,veh0,10,7,0.3,562.753,7.52654,0,-77.3281,19.6482,7,0.073,0.036,0.0756667
19,veh0,veh2,10,1,0.9,1026.26,0,1.94924,-80.0287,1.39564,1,0.036,0.118,0.0756667
19,veh0,veh1,10,6,0.4,562.753,0,7.52654,-78.6404,7.90574,6,0.036,0.073,0.0756667
20,veh2,veh1,10,6,0.4,501.516,3.93604,7.7648,-77.0893,19.887,6,0.115,0.081,0.078
20,veh2,veh0,10,3,0.7,1026.89,3.93604,0,-78.3785,18.5978,3,0.115,0.038,0.078
20,veh1,veh2,10,6,0.4,501.516,7.7648,3.93604,-76.3091,20.6672,6,0.081,0.115,0.078
20,veh1,veh0,10,7,0.3,569.675,7.7648,0,-78.2184,18.7578,7,0.081,0.038,0.078
20,veh0,veh2,10,1,0.9,1026.89,0,3.93604,-78.2438,7.45652,1,0.038,0.115,0.078
20,veh0,veh1,10,5,0.5,569.675,0,7.7648,-76.0361,12.779,5,0.038,0.081,0.078
21,veh2,veh1,10,5,0.5,492.885,5.05986,7.74783,-75.631,21.3453,5,0.112,0.077,0.0756667
21,veh2,veh0,10,4,0.6,1027.39,5.05986,0,-79.9453,17.0309,4,0.112,0.038,0.0756667
21,veh1,veh2,10,3,0.7,492.885,7.74783,5.05986,-74.1953,22.781,3,0.077,0.112,0.0756667
21,veh1,veh0,10,6,0.4,576.697,7.74783,0,-79.0768,17.8995,6,0.077,0.038,0.0756667
21,veh0,veh2,10,0,1,1027.39,0,5.05986,nan,nan,0,0.038,0.112,0.0756667
21,veh0,veh1,10,5,0.5,576.697,0,7.74783,-77.5682,9.18941,5,0.038,0.077,0.0756667
22,veh2,veh1,10,5,0.5,481.425,5.09772,7.79963,-75.9331,21.0432,5,0.111,0.084,0.076
22,veh2,veh0,10,0,1,1024.18,5.09772,0,nan,nan,0,0.111,0.033,0.076
22,veh1,veh2,10,4,0.6,481.425,7.79963,5.09772,-78.0554,18.9209,4,0.084,0.111,0.076
22,veh1,veh0,10,3,0.7,583.848,7.79963,0,-80.3821,16.5942,3,0.084,0.033,0.076
22,veh0,veh2,10,1,0.9,1024.18,0,5.09772,-78.2824,4.82411,1,0.033,0.111,0.076
22,veh0,veh1,10,4,0.6,583.848,0,7.79963,-77.5326,6.11414,4,0.033,0.084,0.076
23,veh2,veh1,10,7,0.3,472.388,5.90252,7.69508,-76.3026,20.6737,7,0.108,0.074,0.074
23,veh2,veh0,10,1,0.9,1021.43,5.90252,0,-79.8658,17.1105,1,0.108,0.04,0.074
23,veh1,veh2,10,5,0.5,472.388,7.69508,5.90252,-76.4104,20.5658,5,0.074,0.108,0.074
23,veh1,veh0,10,3,0.7,591.007,7.69508,0,-78.6355,18.3408,3,0.074,0.04,0.074
