tx_power_dbm,metric,n_runs,mean,sd,ci95_low,ci95_high
15,packet_weighted_per,10,0.4765092922855537,0.015372501077838894,0.4655124682688767,0.48750611630223073
15,packet_delivery_ratio,10,0.5234907077144463,0.015372501077838911,0.5124938836977693,0.5344875317311233
15,mean_rssi_dbm,10,-75.90093149412834,0.09935855258842556,-75.97200831577462,-75.82985467248207
15,mean_snr_db,10,19.484182076222464,0.5243293700901164,19.109099467318416,19.85926468512651
15,mean_cbr_global,10,0.01566971176484782,0.00022174430828727102,0.01551108545397052,0.015828338075725118
15,phy_coverage,10,0.5287666869539176,0.015442995100340088,0.5177194345550439,0.5398139393527913
20,packet_weighted_per,10,0.06798202795743843,0.044384874884543624,0.03623100347312786,0.09973305244174901
20,packet_delivery_ratio,10,0.9320179720425615,0.044384874884543624,0.900266947558251,0.9637689965268721
20,mean_rssi_dbm,10,-74.34338596829244,0.15192308942011526,-74.45206519166432,-74.23470674492056
20,mean_snr_db,10,21.34196506881297,0.6407648252927548,20.883589558924125,21.800340578701817
20,mean_cbr_global,10,0.02597857811414339,0.0010393709609870982,0.025235056972844085,0.026722099255442697
20,phy_coverage,10,0.9334737769161363,0.0442394403138273,0.9018267900488673,0.9651207637834053
25,packet_weighted_per,10,0.0642365698561889,0.04514825499144326,0.03193945617982687,0.09653368353255094
25,packet_delivery_ratio,10,0.9357634301438111,0.045148254991443246,0.9034663164674491,0.9680605438201731
25,mean_rssi_dbm,10,-69.36013415521795,0.15499496352416492,-69.4710108647863,-69.2492574456496
25,mean_snr_db,10,26.250470779112817,1.0130536301807846,25.52577592079767,26.975165637427963
25,mean_cbr_global,10,0.032309505972463716,0.0018802804146196696,0.030964434489503454,0.033654577455423974
25,phy_coverage,10,0.9372423459976327,0.0451219214139481,0.904964070226435,0.9695206217688304
