contrast,metric,n_pairs,mean_paired_difference,sd_paired_difference,ci95_low,ci95_high
20_minus_15_dbm,packet_weighted_per,10,-0.40852726432811526,0.03067947225770062,-0.43047403509977733,-0.3865804935564532
20_minus_15_dbm,packet_delivery_ratio,10,0.40852726432811526,0.030679472257700607,0.3865804935564532,0.43047403509977733
20_minus_15_dbm,mean_rssi_dbm,10,1.5575455258359043,0.08327040116828843,1.497977473584091,1.6171135780877177
20_minus_15_dbm,mean_snr_db,10,1.8577829925905056,0.22458016220643115,1.6971280341738044,2.018437951007207
20_minus_15_dbm,mean_cbr_global,10,0.010308866349295575,0.000887679859057777,0.009673858477526453,0.010943874221064697
20_minus_15_dbm,phy_coverage,10,0.4047070899622186,0.03040063567688143,0.38295978684992793,0.4264543930745093
25_minus_20_dbm,packet_weighted_per,10,-0.00374545810124952,0.0020108761808391887,-0.005183952160742204,-0.0023069640417568366
25_minus_20_dbm,packet_delivery_ratio,10,0.0037454581012495215,0.002010876180839174,0.0023069640417568487,0.005183952160742194
25_minus_20_dbm,mean_rssi_dbm,10,4.9832518130744745,0.005970824444139096,4.978980542881407,4.987523083267542
25_minus_20_dbm,mean_snr_db,10,4.908505710299844,0.4250863975432318,4.6044172420671075,5.21259417853258
25_minus_20_dbm,mean_cbr_global,10,0.006330927858320323,0.0008606682145477451,0.005715242951602481,0.006946612765038164
25_minus_20_dbm,phy_coverage,10,0.0037685690814964977,0.0024311153857391335,0.0020294540262534833,0.005507684136739513
25_minus_15_dbm,packet_weighted_per,10,-0.4122727224293648,0.03159492310266274,-0.43487436723791856,-0.38967107762081105
25_minus_15_dbm,packet_delivery_ratio,10,0.4122727224293648,0.03159492310266271,0.38967107762081105,0.43487436723791856
25_minus_15_dbm,mean_rssi_dbm,10,6.540797338910378,0.08684700739180597,6.478670736880763,6.602923940939994
25_minus_15_dbm,mean_snr_db,10,6.76628870289035,0.599745734969881,6.337256480428891,7.195320925351808
25_minus_15_dbm,mean_cbr_global,10,0.016639794207615896,0.001734592989227162,0.015398941223023072,0.01788064719220872
25_minus_15_dbm,phy_coverage,10,0.408475659043715,0.031454436688005384,0.385974512154849,0.43097680593258103
