tx_power_dbm,ns3_run,evaluated_rows,tx_packets,rx_packets,packet_weighted_per,packet_delivery_ratio,mean_rssi_dbm,mean_snr_db,mean_cbr_global,phy_observed_rows,phy_coverage
15,1,74430,148126,80098,0.45925765902002347,0.5407423409799765,-75.98981334367537,19.88133129905001,0.015839601506650543,40611,0.5456267634018541
15,2,74430,148126,77232,0.4786060516047149,0.5213939483952851,-75.94064535671683,19.02650119376158,0.015725259633749832,39401,0.5293698777374715
15,3,74430,148126,78604,0.4693436668781983,0.5306563331218017,-75.92542490723096,19.25562924229014,0.015944989009001747,39884,0.5358591965605267
15,4,74438,148132,79532,0.4631004779520968,0.5368995220479033,-76.01320342655956,20.181866823073488,0.015791896698460466,40332,0.5418200381525565
15,5,74430,148126,81366,0.4506973792581991,0.5493026207418009,-76.0560407135413,20.31718282276352,0.015949792504903935,41259,0.5543329302700524
15,6,74430,148126,76133,0.4860254107989144,0.5139745892010855,-75.83834512754112,19.394642916377055,0.015582976175466882,38615,0.5188096197769716
15,7,74430,148126,75693,0.4889958548803046,0.5110041451196954,-75.7943351747669,18.61749620978278,0.01552659133870751,38394,0.5158403869407497
15,8,74430,148126,74174,0.49925063797037655,0.5007493620296234,-75.77926385055179,19.164751617428532,0.015267940774418919,37605,0.5052398226521564
15,9,74435,148123,76796,0.48153899124376365,0.5184610087562364,-75.87869281447871,19.580026600722142,0.015621190036138913,39009,0.5240679787734265
15,10,74430,148125,75799,0.48827679324894513,0.5117232067510549,-75.79355022622082,19.422392036975403,0.015446879970979443,38458,0.5167002552734112
20,1,74430,148126,144858,0.02206229831359788,0.9779377016864021,-74.46961105525567,22.013140675502356,0.02697266084105871,72807,0.9781942765014108
20,2,74430,148126,139167,0.06048229210266935,0.9395177078973307,-74.42321876846592,21.07707041284659,0.02604397070536074,70400,0.9458551659277173
20,3,74430,148126,139672,0.05707303241834654,0.9429269675816535,-74.3326789589829,21.14803419322527,0.025928674647319627,70239,0.9436920596533656
20,4,74438,148132,143317,0.03250479302243944,0.9674952069775605,-74.47648239098454,21.913965189040162,0.02687679510196405,72054,0.9679733469464521
20,5,74430,148126,147646,0.003240484452425638,0.9967595155475744,-74.53150626002345,22.203773556739396,0.027400378105602582,74201,0.9969232836221954
20,6,74430,148126,133729,0.09719428054494147,0.9028057194550585,-74.25316737730996,21.144215877579054,0.02553137366653231,67263,0.903708182184603
20,7,74430,148126,127807,0.13717375747674276,0.8628262425232572,-74.04204981269334,19.96089685153809,0.02413348971409378,64333,0.8643423350799408
20,8,74430,148126,128567,0.13204299042706885,0.8679570095729312,-74.17217989299355,21.041189829299974,0.02452894209592906,64669,0.868856643826414
20,9,74435,148123,139553,0.05785732128028733,0.9421426787197127,-74.4044281698352,21.420620454658238,0.02641772045140055,70327,0.9448109088466448
20,10,74430,148125,136247,0.08018902953586497,0.9198109704641351,-74.32853699637977,21.496743647700573,0.025951775812172513,68504,0.9203815665726186
25,1,74430,148126,145325,0.018909576981758772,0.9810904230182412,-69.48521337632818,27.073384080266184,0.03404633423619508,73032,0.9812172511084241
25,2,74430,148126,140435,0.05192201234084495,0.9480779876591551,-69.44426912988473,26.38443726679786,0.032809441636436926,71140,0.9557973935241166
25,3,74430,148126,140336,0.052590362259157745,0.9474096377408423,-69.35298542127346,25.804400879117765,0.03188211445384925,70548,0.9478436114469971
25,4,74438,148132,143848,0.02892015229660033,0.9710798477033997,-69.49288397853478,27.20473290001798,0.03409092438942476,72303,0.971318412638706
25,5,74430,148126,148126,0.0,1.0,-69.5466545129652,27.419527457208115,0.03475639593174795,74430,1.0
25,6,74430,148126,134123,0.09453438289024209,0.9054656171097579,-69.26721632320238,25.7303762613788,0.031098355773209727,67450,0.9062206099690985
25,7,74430,148126,128089,0.13526997286094272,0.8647300271390573,-69.05209573857466,23.95693180478421,0.028949795257288725,64462,0.8660755071879619
25,8,74430,148126,128840,0.13019996489475177,0.8698000351052483,-69.1822417471683,25.737394545693032,0.029902295276098344,64802,0.8706435577052264
25,9,74435,148123,140349,0.05248340905868771,0.9475165909413122,-69.43473282202083,26.7216146671285,0.03310972002821254,70733,0.9502653321690065
25,10,74430,148125,136640,0.07753586497890295,0.922464135021097,-69.34304850222702,26.4719079287357,0.03244968274217385,68702,0.9230417842267903
