run_id,scenario_id,ns3_seed,ns3_run,sumo_seed,propagation,window_start_s,window_end_s,src,dst,tx,rx_ok,per,dist_m,within_evaluation_radius,v_src_mps,v_dst_mps,rssi_dbm,snr_db,phy_n,cbr_tx,cbr_rx,cbr_global
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh0,veh1,5,0,1,771.242,0,8.39383,7.67256,nan,nan,0,0.01,0.01,0.008
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh1,veh0,5,0,1,771.242,0,7.67256,8.39383,nan,nan,0,0.01,0.01,0.008
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh2,veh3,5,5,0,268.397,1,5.02787,2.20679,-75.2533,21.723,5,0.01,0.01,0.008
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh3,veh2,5,5,0,268.397,1,2.20679,5.02787,-75.2533,21.723,5,0.01,0.01,0.008
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh0,veh1,5,0,1,759.827,0,8.38563,7.77365,nan,nan,0,0.015,0.015,0.013
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh0,veh4,5,5,0,498.322,1,8.38563,1.16528,-80.6278,16.3485,5,0.015,0.015,0.013
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh1,veh0,5,0,1,759.827,0,7.77365,8.38563,nan,nan,0,0.015,0.015,0.013
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh1,veh4,5,5,0,262.99,1,7.77365,1.16528,-75.0764,21.8999,5,0.015,0.015,0.013
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh2,veh3,5,5,0,266.583,1,7.15418,4.3301,-75.1943,21.782,5,0.01,0.01,0.013
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh3,veh2,5,5,0,266.583,1,4.3301,7.15418,-75.1943,21.782,5,0.01,0.01,0.013
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh4,veh0,5,5,0,498.322,1,1.16528,8.38563,-80.6278,16.3485,5,0.015,0.015,0.013
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh4,veh1,5,5,0,262.99,1,1.16528,7.77365,-75.0764,21.8999,5,0.015,0.015,0.013
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,7,8,veh0,veh1,5,0,1,748.569,0,8.3961,7.79984,nan,nan,0,0.018,0.015,0.0139762
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,7,8,veh0,veh4,5,5,0,490.022,1,8.3961,3.23924,-80.4819,16.4944,5,0.018,0.018,0.0139762
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,7,8,veh0,veh5,3,3,0,265.855,1,8.41627,0.741684,-75.1706,21.8057,3,0.018,0.0128571,0.0139762
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,7,8,veh1,veh0,5,0,1,748.569,0,7.79984,8.3961,nan,nan,0,0.015,0.018,0.0139762
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,7,8,veh1,veh4,5,5,0,260.682,1,7.79984,3.23924,-74.9999,21.9764,5,0.015,0.018,0.0139762
juelich_pilot_d60_r5_log_distance_s01_w1,juelich,12345,1,1,log-distance,7,8,veh2,veh3,5,5,0,262.919,1,9.15679,6.29613,-75.074,21.9023,5,0.01,0.01,0.0139762
