run_id,scenario_id,ns3_seed,ns3_run,sumo_seed,propagation,window_start_s,window_end_s,src,dst,tx,rx_ok,per,dist_m,within_evaluation_radius,v_src_mps,v_dst_mps,rssi_dbm,snr_db,phy_n,cbr_tx,cbr_rx,cbr_global
juelich_pilot_d30_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh0,veh1,10,0,1,775.645,0,8.38498,5.8063,nan,nan,0,0.02,0.02,0.0166667
juelich_pilot_d30_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,5,6,veh1,veh0,10,0,1,775.645,0,5.8063,8.38498,nan,nan,0,0.02,0.02,0.0166667
juelich_pilot_d30_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh0,veh1,10,0,1,764.716,0,8.3927,7.51419,nan,nan,0,0.02,0.02,0.0166667
juelich_pilot_d30_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,6,7,veh1,veh0,10,0,1,764.716,0,7.51419,8.3927,nan,nan,0,0.02,0.02,0.0166667
juelich_pilot_d30_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,7,8,veh0,veh1,10,0,1,753.379,0,8.38638,7.79613,nan,nan,0,0.02,0.02,0.0166667
juelich_pilot_d30_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,7,8,veh1,veh0,10,0,1,753.379,0,7.79613,8.38638,nan,nan,0,0.02,0.02,0.0166667
juelich_pilot_d30_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,8,9,veh0,veh1,10,0,1,742.179,0,8.3812,7.80083,nan,nan,0,0.02,0.02,0.01975
juelich_pilot_d30_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,8,9,veh1,veh0,10,0,1,742.179,0,7.80083,8.3812,nan,nan,0,0.02,0.02,0.01975
juelich_pilot_d30_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,8,9,veh2,veh3,9,9,0,266.87,1,6.42472,0,-75.2037,21.7726,9,0.019,0.02,0.01975
juelich_pilot_d30_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,8,9,veh3,veh2,9,9,0,266.87,1,0,6.42472,-75.2037,21.7726,9,0.02,0.019,0.01975
juelich_pilot_d30_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,9,10,veh0,veh1,10,0,1,731.17,0,8.40522,7.77835,nan,nan,0,0.02,0.02,0.02
juelich_pilot_d30_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,9,10,veh1,veh0,10,0,1,731.17,0,7.77835,8.40522,nan,nan,0,0.02,0.02,0.02
juelich_pilot_d30_r10_log_distance_s01_w1,juelich,12345,1,1,log-distance,9,10,veh2,veh3,10,10,0,264.739,1,6.56705,0,-75.134,21.8422,10,0.02,0.02,0.02
