path_loss_exponent,metric,n_runs,mean,sd,ci95_low,ci95_high
1.8,packet_weighted_per,10,0.06754051986225885,0.04765810734957446,0.0334479660977514,0.10163307362676631
1.8,packet_delivery_ratio,10,0.9324594801377412,0.047658107349574444,0.8983669263732337,0.9665520339022486
1.8,mean_rssi_dbm,10,-69.58369459617114,0.14792486188851026,-69.68951366007248,-69.4778755322698
1.8,mean_snr_db,10,26.05324947171731,1.0210292249741328,25.322849216998115,26.783649726436508
1.8,mean_cbr_global,10,0.03257270306369918,0.0019146401180851925,0.031203052131346633,0.03394235399605172
1.8,phy_coverage,10,0.9340138372387601,0.04761263182521664,0.8999538147023135,0.9680738597752067
2.0,packet_weighted_per,10,0.06798202795743843,0.044384874884543624,0.03623100347312786,0.09973305244174901
2.0,packet_delivery_ratio,10,0.9320179720425615,0.044384874884543624,0.900266947558251,0.9637689965268721
2.0,mean_rssi_dbm,10,-74.34338596829244,0.15192308942011526,-74.45206519166432,-74.23470674492056
2.0,mean_snr_db,10,21.34196506881297,0.6407648252927548,20.883589558924125,21.800340578701817
2.0,mean_cbr_global,10,0.02597857811414339,0.0010393709609870982,0.025235056972844085,0.026722099255442697
2.0,phy_coverage,10,0.9334737769161363,0.0442394403138273,0.9018267900488673,0.9651207637834053
2.5,packet_weighted_per,10,0.8249782976647815,0.0026528047236843906,0.8230805956220721,0.8268759997074908
2.5,packet_delivery_ratio,10,0.1750217023352186,0.0026528047236843992,0.17312400029250924,0.17691940437792797
2.5,mean_rssi_dbm,10,-72.84226428609541,0.06871855325760023,-72.89142257419883,-72.793105997992
2.5,mean_snr_db,10,22.949543766706764,0.4109557671432446,22.655563741788914,23.243523791624614
2.5,mean_cbr_global,10,0.006176941721730434,2.5837051942970822e-05,0.006158459009523233,0.0061954244339376355
2.5,phy_coverage,10,0.1778082640991066,0.002601650170494393,0.17594715581666004,0.17966937238155317
