contrast,metric,n_pairs,mean_paired_difference,sd_paired_difference,ci95_low,ci95_high
2.0_minus_1.8,packet_weighted_per,10,0.00044150809517956796,0.003882069878754492,-0.002335557202194106,0.003218573392553242
2.0_minus_1.8,packet_delivery_ratio,10,-0.00044150809517954357,0.00388206987875448,-0.0032185733925532084,0.002335557202194121
2.0_minus_1.8,mean_rssi_dbm,10,-4.759691372121286,0.006302821046408334,-4.764200138359453,-4.755182605883118
2.0_minus_1.8,mean_snr_db,10,-4.711284402904343,0.43561624906876195,-5.0229054726026225,-4.399663333206063
2.0_minus_1.8,mean_cbr_global,10,-0.006594124949555785,0.0008947982491502543,-0.007234225010470491,-0.00595402488864108
2.0_minus_1.8,phy_coverage,10,-0.0005400603226238254,0.004179772982082727,-0.0035300895755661036,0.0024499689303184528
2.5_minus_2.0,packet_weighted_per,10,0.7569962697073429,0.04319877906499026,0.726093726997631,0.7878988124170548
2.5_minus_2.0,packet_delivery_ratio,10,-0.7569962697073429,0.04319877906499026,-0.7878988124170548,-0.726093726997631
2.5_minus_2.0,mean_rssi_dbm,10,1.5011216821970166,0.1505234995536567,1.3934436650295834,1.6087996993644498
2.5_minus_2.0,mean_snr_db,10,1.6075786978937934,0.4310741348332581,1.299206860747755,1.9159505350398318
2.5_minus_2.0,mean_cbr_global,10,-0.019801636392412957,0.0010477839439030265,-0.020551175818707874,-0.01905209696611804
2.5_minus_2.0,phy_coverage,10,-0.7556655128170296,0.04308232536429888,-0.7864847495737213,-0.724846276060338
2.5_minus_1.8,packet_weighted_per,10,0.7574377778025225,0.046564658350676046,0.7241274302744116,0.7907481253306334
2.5_minus_1.8,packet_delivery_ratio,10,-0.7574377778025225,0.04656465835067603,-0.7907481253306334,-0.7241274302744116
2.5_minus_1.8,mean_rssi_dbm,10,-3.2585696899242693,0.14867362423382502,-3.3649243861017104,-3.1522149937468282
2.5_minus_1.8,mean_snr_db,10,-3.1037057050105497,0.8220658285374348,-3.691776130296272,-2.5156352797248274
2.5_minus_1.8,mean_cbr_global,10,-0.026395761341968742,0.0019241044185057544,-0.02777218262650008,-0.025019340057437403
2.5_minus_1.8,phy_coverage,10,-0.7562055731396534,0.0465612727069507,-0.7895134987243186,-0.7228976475549882
