path_loss_exponent,ns3_run,all_rows,evaluated_rows,tx_packets,rx_packets,packet_weighted_per,packet_delivery_ratio,mean_rssi_dbm,mean_snr_db,mean_cbr_global,phy_observed_rows,phy_coverage
1.8,1,141852,74430,148126,145258,0.019361894603243186,0.9806381053967568,-69.70396837173622,26.852453160634536,0.03433811100900174,72998,0.9807604460566975
1.8,2,141852,74430,148126,140143,0.053893307049403885,0.9461066929505961,-69.66485383315496,26.1636750397116,0.03309216659142818,71012,0.9540776568587935
1.8,3,141852,74430,148126,139756,0.056505947639172056,0.943494052360828,-69.57303682502632,25.582095097634568,0.03213589104124681,70262,0.9440010748354158
1.8,4,141865,74438,148132,143739,0.02965598250209273,0.9703440174979072,-69.71140470607776,27.005312211441307,0.03439132538622746,72247,0.970566108707918
1.8,5,141852,74430,148126,148126,0.0,1.0,-69.75975897084508,27.21652614537149,0.03505894770388284,74430,1.0
1.8,6,141852,74430,148126,133415,0.0993140974575699,0.9006859025424301,-69.4960121927955,25.53054693726992,0.031349075826951504,67097,0.9014778986967621
1.8,7,141852,74430,148126,126851,0.1436277223444905,0.8563722776555095,-69.28415497384658,23.733393681366866,0.02914269353755206,63854,0.857906758027677
1.8,8,141852,74430,148126,127985,0.13597207782563495,0.8640279221743651,-69.42171232640507,25.553937747227142,0.030125175114873035,64374,0.8648931882305522
1.8,9,141867,74435,148123,139879,0.05565644768199402,0.9443435523180059,-69.65174748620782,26.579916477145407,0.03338171712232149,70511,0.9472828642439712
1.8,10,141851,74430,148125,136065,0.08141772151898734,0.9185822784810127,-69.5702962756161,26.314638219370302,0.03271192730350665,68414,0.9191723767298132
2.0,1,141852,74430,148126,144858,0.02206229831359788,0.9779377016864021,-74.46961105525567,22.013140675502356,0.02697266084105871,72807,0.9781942765014108
2.0,2,141852,74430,148126,139167,0.06048229210266935,0.9395177078973307,-74.42321876846592,21.07707041284659,0.02604397070536074,70400,0.9458551659277173
2.0,3,141852,74430,148126,139672,0.05707303241834654,0.9429269675816535,-74.3326789589829,21.14803419322527,0.025928674647319627,70239,0.9436920596533656
2.0,4,141865,74438,148132,143317,0.03250479302243944,0.9674952069775605,-74.47648239098454,21.913965189040162,0.02687679510196405,72054,0.9679733469464521
2.0,5,141852,74430,148126,147646,0.003240484452425638,0.9967595155475744,-74.53150626002345,22.203773556739396,0.027400378105602582,74201,0.9969232836221954
2.0,6,141852,74430,148126,133729,0.09719428054494147,0.9028057194550585,-74.25316737730996,21.144215877579054,0.02553137366653231,67263,0.903708182184603
2.0,7,141852,74430,148126,127807,0.13717375747674276,0.8628262425232572,-74.04204981269334,19.96089685153809,0.02413348971409378,64333,0.8643423350799408
2.0,8,141852,74430,148126,128567,0.13204299042706885,0.8679570095729312,-74.17217989299355,21.041189829299974,0.02452894209592906,64669,0.868856643826414
2.0,9,141867,74435,148123,139553,0.05785732128028733,0.9421426787197127,-74.4044281698352,21.420620454658238,0.02641772045140055,70327,0.9448109088466448
2.0,10,141851,74430,148125,136247,0.08018902953586497,0.9198109704641351,-74.32853699637977,21.496743647700573,0.025951775812172513,68504,0.9203815665726186
2.5,1,141852,74430,148126,26382,0.8218948732835559,0.1781051267164441,-72.92885300059417,23.42934146836007,0.006191608300416499,13464,0.18089480048367593
2.5,2,141852,74430,148126,25238,0.8296180278951704,0.17038197210482967,-72.7461201502362,22.524640725880893,0.0061673978425366115,12913,0.1734918715571678
2.5,3,141852,74430,148126,26226,0.8229480307305942,0.17705196926940578,-72.90607241276246,22.750723924695507,0.006208308297729411,13383,0.17980652962515115
2.5,4,141865,74438,148132,25972,0.824669889017903,0.17533011098209705,-72.8676139226186,23.532531242424014,0.0061523611562642735,13259,0.17812138961283216
2.5,5,141852,74430,148126,26291,0.8225092151276616,0.1774907848723384,-72.90151205187449,23.568553014265483,0.006177221134220073,13417,0.1802633346768776
2.5,6,141852,74430,148126,25839,0.8255606713203624,0.1744393286796376,-72.8261830539331,22.912468811302436,0.006167439499395405,13183,0.17711944108558378
2.5,7,141852,74430,148126,26033,0.8242509755208404,0.17574902447915963,-72.87032035531466,22.628648141222524,0.0062234636329437055,13284,0.1784764207980653
2.5,8,141852,74430,148126,25314,0.8291049511902029,0.17089504880979706,-72.73836466718267,22.76442520931115,0.006155500734918716,12920,0.17358591965605266
2.5,9,141867,74435,148123,25774,0.8259959628146878,0.1740040371853122,-72.77088187827673,22.8862384372996,0.006140543357560287,13161,0.17681198360986095
2.5,10,141851,74430,148125,26184,0.8232303797468354,0.17676962025316456,-72.86672136816107,22.497866692305966,0.006185573261319361,13361,0.17951094988579874
