run_id,scenario_id,ns3_seed,ns3_run,sumo_seed,propagation,window_start_s,window_end_s,src,dst,tx,rx_ok,per,dist_m,within_evaluation_radius,v_src_mps,v_dst_mps,rssi_dbm,snr_db,phy_n,cbr_tx,cbr_rx,cbr_global
juelich_pilot_d10_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh0,veh1,5,0,1,759.088,0,8.06739,0.489383,nan,nan,0,0.015,0.02,0.0175
juelich_pilot_d10_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,8,9,veh1,veh0,5,0,1,759.088,0,0.489383,8.06739,nan,nan,0,0.02,0.015,0.0175
juelich_pilot_d10_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh0,veh1,10,0,1,753.415,0,8.03604,2.1016,nan,nan,0,0.02,0.02,0.02
juelich_pilot_d10_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,9,10,veh1,veh0,10,0,1,753.415,0,2.1016,8.03604,nan,nan,0,0.02,0.02,0.02
juelich_pilot_d10_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,10,11,veh0,veh1,10,0,1,744.987,0,8.04543,4.01017,nan,nan,0,0.02,0.02,0.02
juelich_pilot_d10_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,10,11,veh1,veh0,10,0,1,744.987,0,4.01017,8.04543,nan,nan,0,0.02,0.02,0.02
juelich_pilot_d10_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,11,12,veh0,veh1,10,0,1,735.633,0,8.03313,5.83355,nan,nan,0,0.02,0.02,0.02
juelich_pilot_d10_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,11,12,veh1,veh0,10,0,1,735.633,0,5.83355,8.03313,nan,nan,0,0.02,0.02,0.02
juelich_pilot_d10_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,12,13,veh0,veh1,10,0,1,725.384,0,8.04105,7.60509,nan,nan,0,0.02,0.02,0.02
juelich_pilot_d10_r10_log_distance_s02_w1,juelich,12345,2,2,log-distance,12,13,veh1,veh0,10,0,1,725.384,0,7.60509,8.04105,nan,nan,0,0.02,0.02,0.02
