tx_power_dbm,all_rows,evaluated_rows,tx_packets,rx_packets,packet_weighted_per,packet_delivery_ratio,mean_rssi_dbm,mean_snr_db,mean_cbr_global,phy_observed_rows
15,141852,74430,148126,80098,0.45925765902002347,0.5407423409799765,-75.98981334367537,19.88133129905001,0.015839601506650543,40611
20,141852,74430,148126,144858,0.02206229831359788,0.9779377016864021,-74.46961105525567,22.013140675502356,0.02697266084105871,72807
25,141852,74430,148126,145325,0.018909576981758772,0.9810904230182412,-69.48521337632818,27.073384080266184,0.03404633423619508,73032
